2018 01 12      7.90000     0.000000
2018 01 13      2.10000     0.459295
2018 01 13      2.30000     0.349436
2018 01 13      2.50000     0.236841
2018 01 13      2.70000     0.267521
2018 01 13      2.90000     0.370801
2018 01 13      3.10000     0.438429
2018 01 13      3.30000     0.630589
2018 01 13      3.50000      1.20589
2018 01 13      3.70000      2.43892
2018 01 13      3.90000      3.53886
2018 01 13      4.10000      3.77404
2018 01 13      4.30000      3.27514
2018 01 13      4.50000      2.57262
2018 01 13      4.70000      1.88149
2018 01 13      4.90000      1.39498
2018 01 13      5.10000      1.00805
2018 01 13      5.30000     0.771941
2018 01 13      5.50000     0.639862
2018 01 13      5.70000     0.555603
2018 01 13      5.90000     0.477909
2018 01 13      6.10000     0.334520
2018 01 13      6.30000     0.269184
2018 01 13      6.50000     0.238556
2018 01 13      6.70000     0.000000
2018 01 13      6.90000     0.000000
2018 01 13      7.10000     0.000000
2018 01 13      7.30000     0.000000
2018 01 13      7.50000     0.000000
2018 01 13      7.70000     0.000000
2018 01 13      7.90000     0.000000
2018 01 14      2.10000     0.205152
2018 01 14      2.30000     0.176931
2018 01 14      2.50000     0.147553
2018 01 14      2.70000     0.203306
2018 01 14      2.90000     0.262853
2018 01 14      3.10000     0.352845
2018 01 14      3.30000     0.526680
2018 01 14      3.50000      1.10172
2018 01 14      3.70000      1.99486
2018 01 14      3.90000      2.44812
2018 01 14      4.10000      1.88340
2018 01 14      4.30000      1.31376
2018 01 14      4.50000     0.844995
2018 01 14      4.70000     0.604856
2018 01 14      4.90000     0.547738
2018 01 14      5.10000     0.600701
2018 01 14      5.30000     0.547028
2018 01 14      5.50000     0.434206
2018 01 14      5.70000     0.350446
2018 01 14      5.90000     0.281709
2018 01 14      6.10000     0.341808
2018 01 14      6.30000     0.000000
2018 01 14      6.50000     0.000000
2018 01 14      6.70000     0.000000
2018 01 14      6.90000     0.000000
2018 01 14      7.10000     0.000000
2018 01 14      7.30000     0.000000
2018 01 14      7.50000     0.000000
2018 01 14      7.70000     0.000000
2018 01 14      7.90000     0.000000
2018 01 15      2.10000     0.516199
2018 01 15      2.30000     0.330810
2018 01 15      2.50000     0.229705
2018 01 15      2.70000     0.257996
2018 01 15      2.90000     0.339667
2018 01 15      3.10000     0.417382
2018 01 15      3.30000     0.585799
2018 01 15      3.50000      1.11667
2018 01 15      3.70000      1.88031
2018 01 15      3.90000      2.26868
2018 01 15      4.10000      1.97123
2018 01 15      4.30000      1.46821
2018 01 15      4.50000      1.09171
2018 01 15      4.70000     0.887874
2018 01 15      4.90000     0.822911
2018 01 15      5.10000     0.825536
2018 01 15      5.30000     0.896825
2018 01 15      5.50000     0.820168
2018 01 15      5.70000     0.825856
2018 01 15      5.90000     0.785298
2018 01 15      6.10000      1.57013
2018 01 15      6.30000      1.28598
2018 01 15      6.50000     0.000000
2018 01 15      6.70000     0.000000
2018 01 15      6.90000     0.000000
2018 01 15      7.10000     0.000000
2018 01 15      7.30000     0.000000
2018 01 15      7.50000     0.000000
2018 01 15      7.70000     0.000000
2018 01 15      7.90000     0.000000
2018 01 16      2.10000     0.219489
2018 01 16      2.30000     0.159203
2018 01 16      2.50000     0.161219
2018 01 16      2.70000     0.194553
2018 01 16      2.90000     0.253225
2018 01 16      3.10000     0.368888
2018 01 16      3.30000     0.531085
2018 01 16      3.50000      1.06101
2018 01 16      3.70000      1.76076
2018 01 16      3.90000      2.06459
2018 01 16      4.10000      1.74561
2018 01 16      4.30000      1.33179
2018 01 16      4.50000      1.05820
2018 01 16      4.70000     0.904381
2018 01 16      4.90000     0.900122
2018 01 16      5.10000     0.962175
2018 01 16      5.30000      1.15454
2018 01 16      5.50000      1.63942
2018 01 16      5.70000      2.15957
2018 01 16      5.90000      2.30834
2018 01 16      6.10000      2.09503
2018 01 16      6.30000     0.000000
2018 01 16      6.50000     0.000000
2018 01 16      6.70000     0.000000
2018 01 16      6.90000     0.000000
2018 01 16      7.10000     0.000000
2018 01 16      7.30000     0.000000
2018 01 16      7.50000     0.000000
2018 01 16      7.70000     0.000000
2018 01 16      7.90000     0.000000
2018 01 17      2.10000     0.629073
2018 01 17      2.30000     0.334735
2018 01 17      2.50000     0.222967
2018 01 17      2.70000     0.247219
2018 01 17      2.90000     0.311077
2018 01 17      3.10000     0.423428
2018 01 17      3.30000     0.538064
2018 01 17      3.50000     0.968961
2018 01 17      3.70000      1.56308
2018 01 17      3.90000      1.81731
2018 01 17      4.10000      1.54470
2018 01 17      4.30000      1.29001
2018 01 17      4.50000      1.08529
2018 01 17      4.70000      1.00772
2018 01 17      4.90000      1.10408
2018 01 17      5.10000      1.39646
2018 01 17      5.30000      1.90095
2018 01 17      5.50000      2.57228
2018 01 17      5.70000      2.88662
2018 01 17      5.90000      2.54735
2018 01 17      6.10000      2.97662
2018 01 17      6.30000      2.69311
2018 01 17      6.50000     0.000000
2018 01 17      6.70000     0.000000
2018 01 17      6.90000     0.000000
2018 01 17      7.10000     0.000000
2018 01 17      7.30000     0.000000
2018 01 17      7.50000     0.000000
2018 01 17      7.70000     0.000000
2018 01 17      7.90000     0.000000
2018 01 18      2.10000     0.224986
2018 01 18      2.30000     0.181591
2018 01 18      2.50000     0.171301
2018 01 18      2.70000     0.220427
2018 01 18      2.90000     0.255839
2018 01 18      3.10000     0.341751
2018 01 18      3.30000     0.530276
2018 01 18      3.50000     0.930039
2018 01 18      3.70000      1.52301
2018 01 18      3.90000      1.75669
2018 01 18      4.10000      1.52516
2018 01 18      4.30000      1.24403
2018 01 18      4.50000      1.08027
2018 01 18      4.70000      1.08238
2018 01 18      4.90000      1.25662
2018 01 18      5.10000      1.70674
2018 01 18      5.30000      2.36089
2018 01 18      5.50000      3.11972
2018 01 18      5.70000      3.84006
2018 01 18      5.90000      4.08392
2018 01 18      6.10000      4.58382
2018 01 18      6.30000      4.36755
2018 01 18      6.50000     0.000000
2018 01 18      6.70000     0.000000
2018 01 18      6.90000     0.000000
2018 01 18      7.10000     0.000000
2018 01 18      7.30000     0.000000
2018 01 18      7.50000     0.000000
2018 01 18      7.70000     0.000000
2018 01 18      7.90000     0.000000
2018 01 19      2.10000     0.721633
2018 01 19      2.30000     0.362041
2018 01 19      2.50000     0.219327
2018 01 19      2.70000     0.252739
2018 01 19      2.90000     0.315404
2018 01 19      3.10000     0.381524
2018 01 19      3.30000     0.537524
2018 01 19      3.50000     0.939749
2018 01 19      3.70000      1.44904
2018 01 19      3.90000      1.65801
2018 01 19      4.10000      1.45672
2018 01 19      4.30000      1.21693
2018 01 19      4.50000      1.04359
2018 01 19      4.70000     0.994210
2018 01 19      4.90000      1.07861
2018 01 19      5.10000      1.44816
2018 01 19      5.30000      1.96137
2018 01 19      5.50000      2.18562
2018 01 19      5.70000      1.75995
2018 01 19      5.90000      1.25603
2018 01 19      6.10000     0.780738
2018 01 19      6.30000     0.000000
2018 01 19      6.50000     0.000000
2018 01 19      6.70000     0.000000
2018 01 19      6.90000     0.000000
2018 01 19      7.10000     0.000000
2018 01 19      7.30000     0.000000
2018 01 19      7.50000     0.000000
2018 01 19      7.70000     0.000000
2018 01 19      7.90000     0.000000
2018 01 20      2.10000     0.797416
2018 01 20      2.30000     0.444874
2018 01 20      2.50000     0.221199
2018 01 20      2.70000     0.229272
2018 01 20      2.90000     0.285426
2018 01 20      3.10000     0.347845
2018 01 20      3.30000     0.468814
2018 01 20      3.50000     0.824007
2018 01 20      3.70000      1.29717
2018 01 20      3.90000      1.47076
2018 01 20      4.10000      1.32613
2018 01 20      4.30000      1.12467
2018 01 20      4.50000     0.945855
2018 01 20      4.70000     0.897849
2018 01 20      4.90000      1.01996
2018 01 20      5.10000      1.15887
2018 01 20      5.30000      1.16680
2018 01 20      5.50000      1.03670
2018 01 20      5.70000     0.839265
2018 01 20      5.90000     0.623591
